,Product_Category,Product_Name,Prodcut_Selling_Price,Prodcut_Mark_Price,Product_Rating,Product_link,Total_User,Product_subcategory1,Product_subcategory2,Product_Variety,Product_Availbility
70,makeup,"MyGlamm LIT Matte Eyeliner Pencil - Mood (Off-white Shade) | Hydrating, Water-resistant, Matte Finish Eyeliner Pencil",311,445,4.9 ratings,https://www.myglamm.com/product/lit-matte-eyeliner-pencil-mood.html,831,Eye Makeup,Eyeliner,"['Mood', 'On Fleek', 'Prom Night', 'Girl Crush', 'Slay', 'Yass', 'Wicked', 'Savage']",ADD TO BAG
71,makeup,MyGlamm 10% Niacinamide Clarifying Serum + St.Botanica Goji Berry Face Wash with Vitamin C,948,,5 ratings,https://www.myglamm.com/product/myglamm-10-niacinamide-clarifying-serum-stbotanica-goji-berry-face-wash-with-vitamin-c.html,2,Face Serum, ,[],Notify
72,makeup,LIT Velvet Matte Liquid Lipstick - Pack of 5 Exclusive Combo,"1,875",,,https://www.myglamm.com/product/lit-velvet-matte-liquid-lipstick-pack-of-5-exclusive-combo-rakhi.html,,Lip Makeup,Liquid Lipstick,[],Notify
73,makeup,LIT Velvet Matte Liquid Lipstick - Pack of 3 Exclusive Combo,618,"1,125",5 ratings,https://www.myglamm.com/product/lit-velvet-matte-liquid-lipstick-pack-of-3-exclusive-combo.html,24,Lip Makeup,Liquid Lipstick,[],Notify
74,makeup,MyGlamm Super Kohl Long Stay Kajal + LIT Velvet Matte Liquid Lipstick 1.6ml,574,,5 ratings,https://www.myglamm.com/product/myglamm-super-kohl-long-stay-kajal-lit-velvet-matte-liquid-lipstick-16ml.html,1,Combo,Makeup Combo,[],Notify
75,makeup,"MyGlamm Combo of POSE HD Lipstick + SUPERFOODS Color Pop Lip Balm | Long Lasting, Matte Finish Lipstick & Tinted Lip Balm With SPF 20, Avocado Butter",493,759,,https://www.myglamm.com/product/pose-hd-lipstick-superfoods-color-pop-lip-balm-jun-surv.html,,Lip Makeup,Lipsticks,[],Notify
76,makeup,"MyGlamm Combo of LIT Satin Matte Lipstick + Glossy Liquid Eyeliner |  Long-Wearing, Smooth Lipstick & Smudge-Proof,Upto 24Hrs Eyeliner",533,820,5 ratings,https://www.myglamm.com/product/lit-satin-matte-lipstick-glossy-liquid-eyeliner.html,1,Lip Makeup,Matte Lipstick,[],Notify
77,makeup,"MyGlamm LIT Liquid Matte Lipstick Set of 2 | Long-Lasting, Smudge-Proof, Transfer-Proof Liquid Matte Lipsticks",513,790,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-set-of-2-2022.html,5,Lip Makeup,Lipstick Combos,[],Notify
78,makeup,"Manish Malhotra Soft Matte Lipstick - Flirty Fuchsia (Hot Pink Shade) | Long Lasting, Hydrating, Moisturising, Matte Finish Creamy Lipstick",560,799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-soft-matte-lipstick-flirty-fuchsia.html,1003,Lip Makeup,Pink Lipstick,"['Flirty Fuchsia', 'Romantic Rouge', 'Candy Crush', 'Berry Fantasy', 'Pink Passion', 'Blush Rose', 'Poppy Pink', 'Lavender Dream', 'Sugar Almond', 'Eternal Rose', 'Cocoa Butter', 'Velvet Wine', 'Violet Dream']",ADD TO BAG
79,makeup,"MyGlamm Ultimatte Long-Stay Matte Liquid Lipstick - Mocha Icon (Brown Shade) | Long Lasting, Waterproof Liquid Lipstick",375,499,5 ratings,https://www.myglamm.com/product/utlimatte-long-stay-matte-liquid-lipstick-mocha-icon.html,835,Lip Makeup,Matte Lipstick,"['Mocha Icon', 'Berry Charmer', 'Cherry Hottie', 'Red Diva', 'Fuchsia Siren', 'Pink Stunner', 'Pink Doll', 'Coral Slayer', 'Plum Beauty', 'Crimson Starlet', 'Rose Belle', 'Scarlet Queen', 'Nude Bombshell', 'Wine Babe', 'Plum Goddess']",ADD TO BAG
80,makeup,"Total Makeover FF Cream Foundation Palette - Latte | 5 In 1 Face Palette With Spf 30 For Fair, Beige Or Light Complexions","1,087","1,450",4.9 ratings,https://www.myglamm.com/product/total-make-over-ff-cream-light.html,753,Face Makeup,Primer,"['Latte', 'Cappuccino', 'Cocoa', 'Hazelnut', 'Honey']",ADD TO BAG
81,makeup,"MyGlamm Super Duo Lipstick (2 in 1 Matte Lipstick + Liquid Lip Color) - Haute Plum (Plum Shade) | Long Lasting, Highly Pigmented (4.2g + 2.5ml)",449,499,4.9 ratings,https://www.myglamm.com/product/super-duo-lipstick-haute-plum.html,7,Lip Makeup,Lipsticks,"['Haute Plum', 'Naughty Red', 'Wicked Wine', 'Flirty Pink', 'Bare Pink', 'Spicy Nude']",ADD TO BAG
82,makeup,"MyGlamm LIT Matte Lipliner Pencil - Yeet (Dark Chocolate Shade) | Hydrating, Pigmented, Defining, Matte Finish Lip liner Pencil (1.14g)",311,445,4.9 ratings,https://www.myglamm.com/product/lit-matte-lipliner-pencil-yeet.html,405,Lip Makeup,Lip Liner,"['Yeet', 'Basic', 'Steez', 'Woke', 'E Girl', 'Vsco', 'Pretty Mess', 'Bae', 'Blended', 'Spoilt']",NOTIFY ME
83,makeup,"Combo of LIT Creamy Matte Lipstick + SUPERFOODS Color Pop Lip Balm | Long Lasting, Creamy, Matte Lipstick & Tinted SPF 20 Lip Balm ",490,755,5 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-superfoods-color-pop-lip-balm-jun-surv.html,3,Lip Makeup,Lipsticks,[],Notify
84,makeup,POPxo Makeup - InstaGlamm Face Kit,329,399,4.9 ratings,https://www.myglamm.com/product/popxo-makeup-instaglamm-face-makeup-essential-kit.html,513,Face Makeup,Face Sets,[],Notify
85,makeup,Treasure IT Powder Matte Blush Pack of 2,648,998,5 ratings,https://www.myglamm.com/product/treasure-it-powder-matte-blush-pack-of-2.html,1,Combo,Makeup Combo,[],Notify
86,makeup,LIT Liquid Matte Lipstick Pack of 2 Exclusive Combo,487,750,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-pack-of-2-exclusive-combo-sep.html,3,Lip Makeup,Liquid Lipstick,[],Notify
87,makeup,POSE HD Lipstick + MyGlamm 10% Niacinamide Clarifying Serum,"1,298",,5 ratings,https://www.myglamm.com/product/pose-hd-lipstick-myglamm-10-niacinamide-clarifying-serum-sept.html,5,Lip Makeup,Serum,[],Notify
88,makeup,Manish Malhotra Compact - Warm Creme,679,799,5 ratings,https://www.myglamm.com/product/manish-malhotra-skin-awakening-compact-warm-creme.html,129,Face Makeup,Compact,"['Warm Creme', 'Warm Sepia', 'Warm Bronze', 'Neutral Champagne', 'Warm Caramel', 'Neutral Honey']",NOTIFY ME
89,makeup,Stay Defined Liquid Eyeliner Brow Powder - Ebony & Walnut,985,"1,095",4.9 ratings,https://www.myglamm.com/product/stay-defined.html,215,Eye Makeup,Eyes Combo,"['Ebony  & Walnut', 'Nutmeg  & Espresso']",ADD TO BAG
90,makeup,MyGlamm Define It Lip Liner Pack of 2,658,"1,198",,https://www.myglamm.com/product/myglamm-define-it-lip-liner-pack-of-2-sep.html,,Lip Makeup,Lip Liner,[],Notify
91,makeup,Manish Malhotra Liquid Matte Lipstick - Strip tease,639,799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-liquid-matte-lipstick-strip-tease.html,828,Lip Makeup,Red Lipstick,"['Strip Tease', 'Rumor Has It', 'Wild Queen', 'Eyes On Me', 'Sugar Coral', 'Envy Me', 'Crazier Than Pink', 'Mess With Me', 'Night Aura', 'Caramel Quest', 'Barely There', 'Playfull Kiss', 'Muse', 'Sugar Rush', 'Talk To Me', 'Obsession']",ADD TO BAG
92,makeup,MyGlamm Chromantic Metallic Nail Enamel Pack of 3,485,747,5 ratings,https://www.myglamm.com/product/myglamm-chromantic-metallic-nail-enamel-pack-of-3.html,9,Nail Makeup,Nail Polish,[],Notify
93,makeup,"MyGlamm LIT Brow Definer Pencil (Brown Shade) | Long Lasting, Define & Sculpt Browliner Pencil",396,495,4.9 ratings,https://www.myglamm.com/product/lit-brow-definer-pencil.html,211,Eye Makeup,Eyebrow Pencil,[],Notify
94,makeup,Face Serum & Lipbalm Combo,299,859,,https://www.myglamm.com/product/myglamm-10-niacinamide-clarifying-serum-superfoods-color-pop-lip-balm.html,,Lip Makeup, ,[],Notify
95,makeup,"POPxo 12 Eyeshadow Kit - Vibe Check | Long Lasting, Pigmented, Eyeshadow Palette of Matte & Shimmer Shades with Vitamin E",314,449,5 ratings,https://www.myglamm.com/product/popxo-makeup-vibe-check-12-shade-eye-shadow-palette-kit.html,1002,Eye Makeup,Eyeshadow,"['Vibe Check', 'Nood Crew', 'Squad Goals']",ADD TO BAG
96,makeup,"MyGlamm POSE HD Bronzer Duo - Cinnamon | Teracotta (Brown Shade) | HD, Buildable Coverage, Matte Finish Blurring Bronzer",559,699,4.9 ratings,https://www.myglamm.com/product/pose-hd-bronzer-duo-cinnamon-teracotta.html,174,Face Makeup,Bronzer,[],Notify
97,makeup,"POPxo Liquid Eyeliner Kit - Eye Gotchu (Set of 3) | Smudge-proof, Long Lasting Black, Matte Finish Brown and Green Shade Liquid Eyeliners",359,449,5 ratings,https://www.myglamm.com/product/popxo-liquid-eyeliner-kit-eye-gotchu.html,129,Eye Makeup,Eyes Combo,"['Eye Gotchu', 'Issa Vibe']",ADD TO BAG
98,makeup,LIT Velvet Matte Lipstick Pack of 2 Exclusive Combo,675,750,5 ratings,https://www.myglamm.com/product/lit-velvet-matte-lipstick-pack-of-2-exclusive-combo.html,24,Lip Makeup,Liquid Lipstick,[],Notify
99,makeup,Manish Malhotra 9 in 1 Eyeshadow Palette - Rendezvous,799,999,5 ratings,https://www.myglamm.com/product/manish-malhotra-9-in-1-eyeshadow-palette-rendezvous.html,367,Eye Makeup,Eyeshadow,"['Rendezvous', 'Enchanté', 'Rêverie', 'Soirée']",ADD TO BAG
100,makeup,"MyGlamm Perfect Curves Matte Lip Crayon - Soleil (Bright Peach Orange Shade) | Moisturising, Long Lasting, Matte Crayon Lipstick With Argan Oil (3.7g) ",625,695,5 ratings,https://www.myglamm.com/product/perfect-curves-soleil.html,1781,Lip Makeup,Peach Lipstick,"['Soleil', 'Candy', 'Terra', 'Siren', 'Debutante', 'Cosmopolitan', 'Spice', 'Carnation', 'Passion', 'Ampere', 'Biscotti']",ADD TO BAG
101,makeup,LIT 2 in 1 Liquid Matte Lipstick +  Define It Lip Liner,629,"1,144",5 ratings,https://www.myglamm.com/product/lit-2-in-1-liquid-matte-lipstick-define-it-lip-liner-xo-jun.html,35,Lip Makeup,Liquid Lipstick,[],Notify
102,makeup,"Treat Love Care Brightening Foundation - Vivid | High Coverage, Luminous Finish, Liquid Foundation,Enriched With Vitamins for Medium Skin",486,749,4.9 ratings,https://www.myglamm.com/product/treat-love-care-brightening-foundation-vivid.html,323,Face Makeup,Foundation,"['Vivid', 'Brilliance', 'Radiance']",ADD TO BAG
103,makeup,Treasure IT Powder Matte Blush + LIT Liquid Matte Lipstick - Bold Beauty,874,,5 ratings,https://www.myglamm.com/product/treasure-it-powder-matte-blush-lit-liquid-matte-lipstick-bold-beauty.html,1,Combo,Makeup Combo,[],Notify
104,makeup,LIT Liquid Lipstick Matte Lipstick 1.6ml + K.Play Flavoured Lipgloss,630,970,5 ratings,https://www.myglamm.com/product/lit-liquid-lipstick-matte-lipstick-16ml-kplay-flavoured-lipgloss.html,2,Lip Makeup, ,[],Notify
105,makeup,"MyGlamm Magic Potion - Mermaid | Quick-drying, Long-lasting, Roll On Illuminator",646,995,4.9 ratings,https://www.myglamm.com/product/magic-potion-mermaid.html,169,Face Makeup,Highlighter,"['Mermaid', 'Unicorn']",ADD TO BAG
106,makeup,"MyGlamm Combo of LIT Creamy Matte Lipstick + POSE HD Lipstick | Long Lasting, Creamy, Demi-matte Finish Slim Lipstick & HD Lipstick",656,"1,194",5 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-pose-hd-lipstick-may-surv.html,1,Lip Makeup,Matte Lipstick,[],Notify
107,makeup,"POPxo Makeup Liquid Lipstick Kit - Glamm Squad (Set of 3)  | Long Lasting, Transfer-Proof, Matte Liquid Lipstick Kit With Vitamin E",349,499,5 ratings,https://www.myglamm.com/product/popxo-makeup-liquid-lipstick-kit-glamm-squad.html,111,Lip Makeup,Lip Kit,"['Glamm Squad', 'OG Crew', 'Homegirls']",ADD TO BAG
108,makeup,Liquid Lipstick & Kajal Combo,299,574,,https://www.myglamm.com/product/lit-liquid-matte-lipstick-16ml-super-kohl-long-stay-kajal-black.html,,Lip Makeup, ,[],Notify
109,makeup,LIT Creamy Matte Lipstick + Define It Lip Liner,656,"1,194",5 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-define-it-lip-liner-aug.html,1,Lip Makeup,Matte Lipstick,[],Notify
110,makeup,"MyGlamm Treat Love Care 24 HR Anti-Pollution Foundation - Filter | Long Lasting, High Coverage, Matte Finish Liquid Foundation Enriched With Soy",486,749,5 ratings,https://www.myglamm.com/product/treat-love-care-24-hr-anti-pollution-foundation-filter.html,152,Face Makeup,Foundation,"['Filter', 'Pure', 'Refine']",ADD TO BAG
111,makeup,"Manish Malhotra Soiree Creamy Matte Lipstick - Bliss (Brown Shade) | Long Lasting, Pigmented With SPF 30 & Vitamin E",799,,,https://www.myglamm.com/product/manish-malhotra-soiree-creamy-matte-lipstick-bliss.html,,Lip Makeup,Matte Lipstick,"['Bliss', 'Dreamy', 'Paradise', 'Amour', 'Empress', 'Rare', 'Vivacious', 'Mysterious']",Notify
112,makeup,"MyGlamm Treat Love Care Age Defying Foundation - Timeless | Anti-aging, Matte Finish, Instant blurring Liquid Foundation For Light Skin",561,749,5 ratings,https://www.myglamm.com/product/treat-love-care-age-defying-foundation-timeless.html,120,Face Makeup,Foundation,"['Timeless', 'Eternity', 'Revive']",ADD TO BAG
113,makeup,MyGlamm LIT XOXO Fragrance + LIT Liquid Matte Lipstick Exclusive Combo,500,770,4.7 ratings,https://www.myglamm.com/product/myglamm-lit-xoxo-fragrance-lit-liquid-matte-lipstick-exclusive-combo.html,3,Body Spray and Mists,Body Spray and Mists,[],Notify
114,makeup,MyGlamm Spotlight Illuminating Liquid - Stardust | Liquid Metal Finish Sheer Highlighter For Dewy Look,896,"1,195",4.9 ratings,https://www.myglamm.com/product/spotlight-stardust.html,309,Face Makeup,Highlighter,"['Stardust', 'Sunkissed', 'Rouge']",ADD TO BAG
115,makeup,MyGlamm LIT Liquid Matte Lipstick and LIT Creamy Matte Lipstick Exclusive Combo,623,970,5 ratings,https://www.myglamm.com/product/myglamm-lit-liquid-matte-lipstick-16ml-and-lit-creamy-matte-lipstick-jun.html,61,Lip Makeup,Liquid Lipstick,[],Notify
116,makeup,"Manish Malhotra Soiree Liquid Matte Lipstick - Caramel Quest (Brown Shade) | Long Lasting, Transfer-resistant With Vitamin E",799,,,https://www.myglamm.com/product/manish-malhotra-soiree-liquid-matte-lipstick-caramel-quest.html,,Lip Makeup,Matte Lipstick,"['Caramel Quest', 'Sugar Coral', 'Night Aura', 'Wild Queen', 'Sugar Rush', 'Muse', 'Ladies Night', 'Allure']",Notify
117,makeup,"MyGlamm Exclusive Combo of LIT Liquid Matte Lipstick + LIT Velvet Matte Liquid Lipstick | Long Lasting, Smudge-Proof, Hydrating Lipsticks",750,,5 ratings,https://www.myglamm.com/product/exclusive-combo-of-lit-liquid-matte-lipstick-lit-velvet-matte-liquid-lipstick-gwp-par.html,1,Lip Makeup,Liquid Lipstick,[],Notify
118,makeup,Tinted Perfection Brightening Banana Primer,602,"1,095",5 ratings,https://www.myglamm.com/product/tinted-perfection-brightening-banana-primer-feb-gwp.html,3,Face Makeup,Primer,[],Notify
119,makeup,Manish Malhotra Powder Matte Lipstick - Mauve Mood,639,799,5 ratings,https://www.myglamm.com/product/manish-malhotra-powder-matte-lipstick-mauve-mood.html,95,Lip Makeup,Matte Lipstick,"['Mauve Mood', 'Wild Violet', 'Pink Paradise', 'Nude Nuance', 'Autumn Allure', 'Pink Kink', 'Bohemian Queen', 'Desert Dream', 'Summer Sunset', 'Promiscuous Pink', 'Cocoa Addition', 'Scarlet Seduction']",ADD TO BAG
120,makeup,LIT Creamy Matte Lipstick & LIT Satin Matte Lipstick,599,"1,090",5 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-lit-satin-matte-lipstick-mar-surv.html,3,Lip Makeup,Lipsticks,[],Notify
121,makeup,Set of 2 Metallic Nail Paint,249,498,,https://www.myglamm.com/product/pack-of-2-chromantic-metallic-nail-enamel.html,,Combo,Makeup Combo,[],Notify
122,makeup,POSE HD & Liquid Lipstick Duo,633,974,,https://www.myglamm.com/product/pose-hd-lipstick-lit-liquid-matte-lipstick-16-ml.html,,Lip Makeup,Liquid Lipstick,[],Notify
123,makeup,LIT Velvet Matte Liquid Lipstick + MyGlamm 10% Niacinamide Clarifying Serum Exclusive Combo | Hydrating Lipstick & Anti-inflammatory Face Serum,590,"1,074",,https://www.myglamm.com/product/lit-velvet-matte-liquid-lipstick-myglamm-10-niacinamide-clarifying-serum-exclusive-combo-aug.html,,Lip Makeup,Serum,[],Notify
124,makeup,Manish Malhotra Beauty Lip Liner & Filler  - Blush Romance,639,799,5 ratings,https://www.myglamm.com/product/manish-malhotra-lip-liner-filler-blush-romance.html,132,Lip Makeup,Lip Liner,"['Blush Romance', 'Red Ruse', 'Cabernet Kiss', 'Fierce red', 'Mocha Magic']",ADD TO BAG
125,makeup,MyGlamm LIT Liquid Matte Lipstick and LIT Creamy Matte Lipstick | Moringa Oil Enriched Matte Lipstick & Long Lasting Creamy Lipstick,643,990,5 ratings,https://www.myglamm.com/product/myglamm-lit-liquid-matte-lipstick-and-lit-creamy-matte-lipstick-dec-survey.html,1,Lip Makeup,Lipsticks,[],Notify
126,makeup,"MyGlamm Combo of LIT Satin Matte Lipstick + LIT Creamy Matte Lipstick | Long Lasting, 3D, Smooth Lipstick & Long Lasting, Creamy Lipstick",599,"1,090",,https://www.myglamm.com/product/lit-satin-matte-lipstick-lit-creamy-matte-lipstick-aug.html,,Lip Makeup,Matte Lipstick,[],Notify
127,makeup,MyGlamm K.Play Flavoured Highlighter - Ripe Melon,580,645,4.9 ratings,https://www.myglamm.com/product/kplay-flavoured-highlighter-ripe-melon.html,279,Face Makeup,Highlighter,"['Ripe Melon', 'Pink Rose']",ADD TO BAG
128,makeup,Manish Malhotra Sundowner Soft Matte Mini Lipstick Duo,799,,5 ratings,https://www.myglamm.com/product/manish-malhotra-sundowner-soft-matte-mini-lipstick-duo.html,8,Lip Makeup,Matte Lipstick,[],Notify
129,makeup,"MyGlamm Wonder Glide Gel Eyeliner - Shadow (Black Shade) | Long Lasting, Water-resistant & Smudge-proof Retractable Eyeliner Pencil",499,,5 ratings,https://www.myglamm.com/product/wonder-glide-gel-eyeliner-shadow-black.html,58,Eye Makeup,Eyeliner,"['Shadow', 'Earth']",ADD TO BAG
130,makeup,MyGlamm Chromantic Metallic Nail Enamel Pack of 2 + Nail Enamel Remover,440,587,5 ratings,https://www.myglamm.com/product/myglamm-chromantic-metallic-nail-enamel-pack-of-2-nail-enamel-remover.html,3,Nails, ,[],Notify
131,makeup,POSE HD Lipstick + LIT Liquid Matte Lipstick,646,994,5 ratings,https://www.myglamm.com/product/pose-hd-lipstick-lit-liquid-matte-lipstick-mg99-mar-surv.html,1,Lip Makeup,Liquid Lipstick,[],Notify
132,makeup,MyGlamm Two of your kind Nail Enamel,236,295,5 ratings,https://www.myglamm.com/product/myglamm-two-of-your-kind-nail-enamel-xo-dec-survey.html,10,Nail Makeup,Nail Polish Sets,[],Notify
133,makeup,MyGlamm Chromantic Metallic Nail Enamel Pack of 2 + LIT Liquid Matte Lipstick Exclusive Combo,567,873,5 ratings,https://www.myglamm.com/product/myglamm-chromantic-metallic-nail-enamel-pack-of-2-lit-liquid-matte-lipstick-exclusive-combo.html,2,Nail Makeup,Nail Polish,[],Notify
134,makeup,"POPxo Makeup - Hot Damn! - Face & Eye Kit | 4-in-1 Makeup Kit Includes Blush, Highlighter, Setting Powder & Eyeshadow Palette",413,459,4.9 ratings,https://www.myglamm.com/product/popxo-makeup-hot-damn-face-and-eye-makeup-essential-kit.html,317,Face Makeup,Kits,"['Hot Damm!', 'Rise & Shine']",ADD TO BAG
135,makeup,"LIT Creamy Matte Lipstick + Two of Your Kind Nail Enamel | Long Lasting,Matte Finish Lipstick & Gel Finish Nail Polish Set",578,890,5 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-two-of-your-kind-nail-enamel-xo-aug.html,11,Lip Makeup,Nail Polish Sets,[],Notify
136,makeup,Super Serum Foundation,454,699,5 ratings,https://www.myglamm.com/product/super-serum-foundation.html,2,Face Makeup,Foundation,[],Notify
137,makeup,MyGlamm LIT Liquid Matte Lipstick - R.E.M,316,395,,https://www.myglamm.com/product/lit-liquid-matte-lipstick-rem.html,,Lip Makeup,Liquid Lipstick,"['R.E.M', 'Swipe Right', 'Ghosted', 'DTF', 'Sketch', 'Taboo', 'IMO']",Notify
138,makeup,"Treat Love Care Oil Control Foundation - Renew (Light to Medium Skin) | Liquid Foundation With Buildable Coverage, Mandarin And Palmetto Extracts",486,749,5 ratings,https://www.myglamm.com/product/treat-love-care-oil-control-foundation-renew.html,158,Face Makeup,Foundation,"['Renew', 'Restore', 'Refresh']",ADD TO BAG
139,makeup,"MyGlamm Combo of 2 LIT Creamy Matte Lipstick | Long Lasting, Creamy, Non-Greasy Texture, Demi-Matte Finish Slim Lipsticks",654,"1,190",5 ratings,https://www.myglamm.com/product/combo-of-2-myglamm-lit-creamy-matte-lipstick-prt.html,2,Lip Makeup,Lipsticks,[],Notify
140,makeup,LIT 2 in 1 Liquid Matte Lipstick + Two of Your Kind,546,840,5 ratings,https://www.myglamm.com/product/lit-2-in-1-liquid-matte-lipstick-two-of-your-kind-xo-jun.html,6,Lip Makeup,Liquid Lipstick,[],Notify
141,makeup,LIT Creamy Matte Lipstick + Glossy Liquid Eyeliner,598,920,5 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-glossy-liquid-eyeliner.html,1,Lip Makeup,Eyeliner,[],Notify
142,makeup,MyGlamm Super Serum BB Cream 15g + LIT Creamy Matte Lipstick,548,844,5 ratings,https://www.myglamm.com/product/myglamm-super-serum-bb-cream-15g-lit-creamy-matte-lipstick-oct.html,2,Face Makeup,Foundation,[],Notify
143,makeup,MyGlamm LIT Glossy Liquid Eyeliner Offer,260,325,5 ratings,https://www.myglamm.com/product/myglamm-lit-glossy-liquid-eyeliner-jan-survey.html,10,Eye Makeup,Eyeliner,[],Notify
144,makeup,Unlimited Lipstick for Lifetime,400,,5 ratings,https://www.myglamm.com/product/unlimited-lipstick-for-lifetime.html,45,Combo,Makeup Combo,[],Notify
145,makeup,Wheelie Liquid Eyeliner,671,895,4.9 ratings,https://www.myglamm.com/product/wheelie.html,283,Eye Makeup,Eyeliner,[],Notify
146,makeup,"MyGlamm Combo of Chromantic Metallic Nail Enamel + Nail Enamel Remover | Chrome Finish, Long Lasting Nail Polish & Acetone-Free Nail Paint Remover",270,338,,https://www.myglamm.com/product/myglamm-chromantic-metallic-nail-enamel-nail-enamel-remover.html,,Nails, ,[],Notify
147,makeup,MyGlamm Treasure IT Suede Matte Lipstick Pack of 2,603,"1,098",4.9 ratings,https://www.myglamm.com/product/myglamm-treasure-it-suede-matte-lipstick-pack-of-2.html,18,Lip Makeup,Matte Lipstick,[],Notify
148,makeup,LIT Liquid Matte Lipstick Set Of 3,651,"1,185",5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-set-of-3.html,399,Lip Makeup,Lipstick Combos,[],Notify
149,hair-care,"Oriental Botanics Bhringraj & Amla Hair Mask, 200ml",384,549,5 ratings,https://www.myglamm.com/product/oriental-botanics-bhringraj-amla-hair-mask-200ml.html,4,Bath & Shower,Hair Mask,[],Notify
150,hair-care,"St.Botanica Moroccan Argan Hair Serum, 120ml",524,749,5 ratings,https://www.myglamm.com/product/stbotanica-moroccan-argan-hair-serum-120ml.html,5,Face Serum, ,[],Notify
151,hair-care,"Exotic Nourishment - Shampoo, Conditioner & Hair Mask Combo",768,"1,397",5 ratings,https://www.myglamm.com/product/exotic-nourishment-shampoo-conditioner-hair-mask-combo.html,8,Rituals & Combos, ,[],Notify
152,hair-care,MyGlamm 10% Niacinamide Clarifying Serum + St.Botanica Pro Keratin & Argan Oil Hair Serum 120ml,823,"1,498",5 ratings,https://www.myglamm.com/product/myglamm-10-niacinamide-clarifying-serum-stbotanica-pro-keratin-argan-oil-hair-serum-120ml-xo-jul.html,11,Face Serum, ,[],Notify
153,hair-care,BabyChakra Natural Foaming Wash & Shampoo 200ml,174,249,5 ratings,https://www.myglamm.com/product/babychakra-natural-foaming-wash-shampoo-200ml.html,4,Hair Shampoo, ,[],Notify
154,hair-care,"St.Botanica Pro Keratin & Argan Oil Smooth Therapy Spray, 200ml",349,499,5 ratings,https://www.myglamm.com/product/stbotanica-pro-keratin-argan-oil-smooth-therapy-spray-200ml.html,8,Hair Spray, ,[],Notify
155,hair-care,"MyGlamm 10% Niacinamide Clarifying Serum + Oriental Botanics Bhringraj & Amla Hair Mask, 200ml",686,"1,248",5 ratings,https://www.myglamm.com/product/myglamm-10-niacinamide-clarifying-serum-oriental-botanics-bhringraj-amla-hair-mask-200ml.html,1,Face Serum,Hair Mask,[],Notify
156,hair-care,"St.Botanica Pro Keratin & Argan Oil Smooth Therapy Shampoo, 300ml",419,599,4.9 ratings,https://www.myglamm.com/product/stbotanica-pro-keratin-argan-oil-smooth-therapy-shampoo-300ml.html,8,Hair Shampoo, ,[],Notify
157,hair-care,"Oriental Botanics Bhringraj & Amla Hair Oil With Comb Applicator, 100ml",279,399,4.9 ratings,https://www.myglamm.com/product/oriental-botanics-bhringraj-amla-hair-oil-with-comb-applicator-100ml.html,8,Bath & Shower,Hair Oil,[],Notify
158,hair-care,MyGlamm SUPERFOODS Onion & Moringa Serum - 100ml,279,399,5 ratings,https://www.myglamm.com/product/myglamm-superfoods-onion-moringa-serum.html,214,Bath & Shower,Serum,[],Notify
